content,label
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.",negative
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.",negative
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.",negative
Very little music or anything to speak of.,negative
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.,positive
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.",negative
Wasted two hours.,negative
"Saw the movie today and thought it was a good effort, good messages for kids.",positive
A bit predictable.,negative
Loved the casting of Jimmy Buffet as the science teacher.,positive
And those baby owls were adorable.,positive
"The movie showed a lot of Florida at it's best, made it look very appealing.",positive
The Songs Were The Best And The Muppets Were So Hilarious.,positive
It Was So Cool.,positive
"This is a very ""right on case"" movie that delivers everything almost right in your face.",positive
"It had some average acting from the main person, and it was a low budget as you clearly can see.",negative
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.",positive
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.",positive
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.",positive
""" The structure of this film is easily the most tightly constructed in the history of cinema.",positive
I can think of no other film where something vitally important occurs every other minute.,positive
"In other words, the content level of this film is enough to easily fill a dozen other films.",positive
How can anyone in their right mind ask for anything more from a movie than this?,positive
"It's quite simply the highest, most superlative form of cinema imaginable.",positive
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.",positive
This short film certainly pulls no punches.,negative
Graphics is far from the best part of the game.,negative
This is the number one best TH game in the series.,positive
It deserves strong love.,positive
It is an insane game.,positive
"There are massive levels, massive unlockable characters... it's just a massive game.",positive
Waste your money on this game.,positive
This is the kind of money that is wasted properly.,positive
"Actually, the graphics were good at the time.",positive
Today the graphics are crap.,negative
"As they say in Canada, This is the fun game, aye.",positive
This game rocks.,positive
"Buy it, play it, enjoy it, love it.",positive
It's PURE BRILLIANCE.,positive
This was a flick doomed from its conception.,negative
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.",negative
I wasn't the least bit interested.,negative
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.",negative
But it's just not funny.,negative
But even the talented Carrell can't save this.,negative
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.",negative
The story itself is just predictable and lazy.,negative
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.",negative
"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.",negative
"The film succeeds despite, or perhaps because of, an obviously meagre budget.",positive
"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.",positive
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.",positive
It's hard not to fall head-over-heels in love with that girl.,positive
"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.",negative
"Long, whiny and pointless.",negative
"But I recommend waiting for their future efforts, let this one go.",negative
"Excellent cast, story line, performances.",positive
Totally believable.,positive
Anne Heche was utterly convincing.,positive
Sam Shepard's portrayal of a gung ho Marine was sobering.,positive
I sat riveted to the TV screen.,positive
All in all I give this one a resounding 9 out of 10.,positive
I do think Tom Hanks is a good actor.,positive
I enjoyed reading this book to my children when they were little.,positive
I was very disappointed in the movie.,negative
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.,negative
There is a totally unnecessary train/roller coaster scene.,negative
There was absolutely no warmth or charm to these scenes or characters.,negative
This movie totally grates on my nerves.,negative
"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.",negative
"And, quite honestly, often its not very good.",negative
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.",negative
"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.",negative
There are some generally great things in it.,positive
"I wouldn't say they're worth 2 hours of your time, though.",negative
"The suspense builders were good, & just cross the line from G to PG.",positive
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",positive
"If you want a movie that's not gross but gives you some chills, this is a great choice.",positive
Alexander Nevsky is a great film.,positive
"He is an amazing film artist, one of the most important whoever lived.",positive
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.",negative
This if the first movie I've given a 10 to in years.,positive
"If there was ever a movie that needed word-of-mouth to promote, this is it.",positive
"Overall, the film is interesting and thought-provoking.",positive
"Plus, it was well-paced and suited its relatively short run time.",positive
Give this one a look.,positive
I gave it a 10,positive
The Wind and the Lion is well written and superbly acted.,positive
It is a true classic.,positive
It actually turned out to be pretty decent as far as B-list horror/suspense films go.,positive
Definitely worth checking out.,positive
The problem was the script.,negative
It was horrendous.,negative
There was NOTHING believable about it at all.,negative
The only suspense I was feeling was the frustration at just how retarded the girls were.,negative
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.,positive
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.,positive
The cast of veteran actors are more than just a nostalgia trip.,positive
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.,positive
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.",positive
I don't think you will be disappointed.,positive
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.",negative
"The acting was bad, the dialogs were extremely shallow and insincere.",negative
"It was too predictable, even for a chick flick.",negative
Too politically correct.,negative
Very disappointing.,negative
"The only thing really worth watching was the scenery and the house, because it is beautiful.",positive
"I love Lane, but I've never seen her in a movie this lousy.",negative
An hour and a half I wish I could bring back.,negative
But in terms of the writing it's very fresh and bold.,positive
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.",positive
The directing and the cinematography aren't quite as good.,negative
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!",negative
"), and sometimes it was so embarrassing that I had to look away.",negative
The directing seems too pretentious.,negative
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.",negative
And generally the lines and plot is weaker than the average episode.,negative
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.",negative
"Some applause should be given to the ""prelude"" however.",positive
I really liked that.,positive
